drugname,pt,count_a,prr,chi2
BETAMETHASONE 0.05% CREAM,HERPES ZOSTER,7,1297.9855761923332,7493.441000481113
ACCUTANE,CARPAL TUNNEL SYNDROME,8,5323.327265152171,7483.308851124314
ZONISAMIDE,NYSTAGMUS,4,2911.070339333051,7424.266166857492
CYANOCOBALAMIN\SEMAGLUTIDE,CHOLECYSTITIS ACUTE,5,2214.882550809602,7361.96477715472
HYDROXYZINE HYDROCHLORIDE,COMPLETED SUICIDE,4,3134.8893229561736,7336.803520717084
ROSUVASTATIN 20MG DAILY,HAEMODIALYSIS,8,1314.5139408210157,7336.0844006122215
ADVATE,ABDOMINAL WALL HAEMATOMA,8,1221.9556066629432,7308.062859662787
VORICONAZOLE,LUNG TRANSPLANT REJECTION,8,1095.5842209539458,7227.010454804753
SUBOXONE,HYPERLIPIDAEMIA,3,50847457.626256816,7193.19913529841
SUBOXONE,HIGH DENSITY LIPOPROTEIN DECREASED,3,50847457.626256816,7193.19913529841
ADVATE,BLOOD URINE PRESENT,8,1195.9566639168502,7174.9516499695055
GENERAL ADULT ^MULTI-VITAMIN^ GUMMIES,ACUTE PSYCHOSIS,3,3773.7678128053585,7072.326579084526
HYDROXYZINE 100MG / DAY,ACUTE PSYCHOSIS,3,3773.7678128053585,7072.326579084526
FINASTERIDE 1MG / DAY,ACUTE PSYCHOSIS,3,3773.7678128053585,7072.326579084526
OLANZAPINE 20MG / DAY,ACUTE PSYCHOSIS,3,3773.7678128053585,7072.326579084526
TADALAFIL 10MG / DAY,ACUTE PSYCHOSIS,3,3773.7678128053585,7072.326579084526
GUANFACINE 4MG / DAY,ACUTE PSYCHOSIS,3,3773.7678128053585,7072.326579084526
VENLAFAXINE 225MG / DAY,ACUTE PSYCHOSIS,3,3773.7678128053585,7072.326579084526
7-HYDROXYMITRAGYNINE,DYSARTHRIA,80,169.03376813395718,7063.666676346466
DIGOXIN,INTESTINAL PERFORATION,17,463.4139985499713,7001.8040336996355
ENTYVIO,MALIGNANT MELANOMA,5,2062.4534712778836,6999.116879177305
TEMOZOLOMIDE,BRAIN TUMOUR OPERATION,8,8948.024255526381,6989.876224311245
LIVDELZI,BLOOD ALKALINE PHOSPHATASE INCREASED,13,625.0452308818433,6940.455290511003
MITRAGYNINE PSEUDOINDOXYL,DRUG ABUSER,4,3773.11260887601,6929.120618716012
CARVYKTI,CYTOKINE RELEASE SYNDROME,31,341.7495800770958,6905.371651197982
VANCOMYCIN,SKIN BACTERIAL INFECTION,8,37558685.44583306,6719.550786570139
EVEROLIMUS,FURUNCLE,4,41666666.66623263,6497.335241132794
